SSS JG,90th,75th,50th,25th,10th,AB+,AB+-25%,AB++25%,Job Grade(SSS Guide Chart),Fullname,Compa Range,Mid (yearly),Min (yearly),Max (yearly)
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$151884,113913,189855,7,Ketti Carney,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$206400,154800,258000,7,Hattie Algeo,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$245016,183762,306270,7,Theodore Parrington,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$246024,184518,307530,7,Corbin Gooddy,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$246312,184734,307890,7,Lucius Plimmer,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$246996,185247,308745,7,Shannon Kuhnel,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$249336,187002,311670,7,Prent Salkeld,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$249624,187218,312030,7,Mala Van Castele,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$252312,189234,315390,7,Hyacinthie Diperaus,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$253896,190422,317370,7,Hymie Aseef,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$254424,190818,318030,7,Allys Bourdice,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$256128,192096,320160,7,Akim Garfit,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$256200,192150,320250,7,Harley Dalliwater,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$257448,193086,321810,7,Land Brigge,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$258072,193554,322590,7,Adorne Beatens,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$259788,194841,324735,7,Teriann Clampett,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$262248,196686,327810,7,Ricoriki Swiers,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$265068,198801,331335,7,Eryn Crockley,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$265800,199350,332250,7,Nell Teague,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$265944,199458,332430,7,Katine Fielder,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$268584,201438,335730,7,Julius Smorfit,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$269544,202158,336930,7,Fairfax Leyre,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$269856,202392,337320,7,Benjie Grosvenor,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$270180,202635,337725,7,Durante Heap,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$270300,202725,337875,7,Ebenezer Bontein,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
7,฿2628857.8444,฿1924656.3477,฿1431912.8025,฿1060643.2887,฿909433.6096,$270696,203022,338370,7,Maison Werndley,Below 75%,฿1177052.268,฿882789.201,฿1471315.335
